id,first_name,last_name,days_since_workshop,days_since_coaching,manager_ni_rating,self_ni_rating,missing_assignments,withdrawal
573,Egon,O'Gleasane,28,1,0,0,2,0
574,Whittaker,Leheude,9,58,1,1,2,1
575,Camilla,Reboul,50,31,0,1,2,0
576,Stevie,Zanre,45,7,0,0,0,0
577,Dacey,Sargent,22,46,1,1,1,1
578,Leta,Woolaghan,31,35,1,1,2,1
579,Pauly,Lishmund,49,40,0,1,2,0
580,Myer,Quigley,2,6,1,1,2,0
581,Ebeneser,MacSorley,41,24,0,1,2,0
582,Nels,Hessenthaler,37,60,1,0,0,0
583,Codi,Annion,11,11,1,0,0,0
584,Hazel,Trigwell,57,36,1,1,0,0
585,Robbie,Sinott,52,35,0,1,1,0
586,Sissie,Fitzpatrick,19,51,0,0,0,0
587,Renato,Lechmere,58,12,0,0,2,0
588,Odelia,Pennoni,17,33,0,1,2,0
589,Charlene,Volkers,13,38,0,0,1,0
590,Samara,Bollon,47,8,0,1,1,0
591,Quill,Ashton,11,8,1,0,2,0
592,Wesley,Cleere,14,16,0,1,1,0
593,Elise,Simonitto,12,32,1,0,1,1
594,Ronnie,Archambault,33,39,0,0,1,0
595,Brit,Rubinsztein,8,19,0,1,0,0
596,Janeva,Hinge,39,54,0,1,2,0
597,Alon,Benedidick,7,32,1,0,0,0
598,Gasparo,Caslett,41,33,1,0,1,1
599,Lusa,Pauly,12,48,1,1,2,1
600,Noam,Hamfleet,55,32,1,1,2,1
601,Aile,Farlane,5,52,0,0,1,0
602,Rafaelita,Marikhin,17,11,1,0,0,0
603,Fleur,Castell,52,15,1,1,2,0
604,Darrell,Spragge,15,24,1,1,1,0
605,Patin,Tewkesbury,17,53,0,0,2,0
606,Frank,Newitt,17,44,1,0,1,1
607,Caren,Cordery,30,41,1,0,2,1
608,Sianna,Kennelly,60,40,0,0,0,0
609,Charmine,Relton,25,54,0,1,2,0
610,Mei,Connell,33,26,1,0,1,0
611,Aldrich,Bartelet,46,37,1,0,2,1
612,Judi,Valett,43,25,1,0,2,0
613,Russell,Pert,41,13,0,0,1,0
614,Adriano,Lammert,18,23,1,1,2,0
615,Kimmi,Samber,5,33,1,0,2,1
616,Bevan,Marval,34,52,1,1,1,1
617,Thorpe,Diviney,15,32,0,0,1,0
618,Mariya,Mattin,19,48,1,1,0,0
619,Salomi,Hacard,48,35,0,0,0,0
620,Dusty,Trazzi,33,24,0,0,2,0
621,Delilah,Maskall,13,55,0,1,2,0
622,Crystal,Stanistreet,2,46,0,0,1,0
623,Beitris,Trustrie,33,23,0,1,2,0
624,Meyer,Bolland,31,48,1,0,2,1
625,Jannel,Woodrow,44,9,0,1,2,0
626,Franchot,Fridlington,40,18,1,0,1,0
627,Jodie,Clendinning,31,43,1,1,0,0
628,Aile,Fraulo,4,3,1,0,1,0
629,Denni,Whimp,26,60,1,1,1,1
630,Misty,Boulsher,43,40,0,0,0,0
631,Hercule,Lismer,11,10,0,0,2,0
632,Lynnell,Bracher,10,60,0,1,2,0
633,Randy,Dingle,35,34,0,1,2,0
634,Minny,Siemianowicz,17,24,0,1,0,0
635,Kerry,Jiruca,37,47,0,1,0,0
636,Ninon,Cahani,7,41,0,1,1,0
637,Cecelia,Cockarill,41,2,0,0,1,0
638,Davida,Abernethy,51,11,1,0,2,0
639,Brigid,Rignoldes,25,15,0,1,0,0
640,Anastasia,Lamort,7,33,1,1,2,1
641,Hedi,Crummy,27,42,1,0,0,0
642,Minnnie,Jorge,48,59,1,1,1,1
643,Lenette,Beckinsale,57,29,1,1,0,0
644,Stafani,Murty,39,10,1,0,2,0
645,Livia,Brickwood,25,55,1,1,2,1
646,Zach,Willcott,49,48,0,1,1,0
647,Teodoro,Shulver,54,28,1,1,1,0
648,Darryl,Skiggs,51,25,1,0,1,0
649,Stewart,Baptist,9,16,0,0,2,0
650,Madonna,Swepstone,5,8,1,1,0,0
651,Marris,Fandrich,15,44,0,0,2,0
652,Taffy,Eltone,8,38,1,0,2,1
653,Farrah,McGurk,9,13,1,0,2,0
654,Aubree,Piquard,20,22,0,1,2,0
655,Damian,Skinner,25,28,1,1,1,0
656,Maitilde,Novakovic,38,42,0,1,2,0
657,Burgess,McQueen,29,51,0,1,0,0
658,Neala,Bricksey,1,23,1,1,1,0
659,Hinze,Gobbett,39,2,1,0,0,0
660,Milka,Jaggi,43,42,0,0,0,0
661,Borden,Persehouse,49,8,0,1,2,0
662,Willy,Belfelt,26,8,0,0,1,0
663,Zenia,Burdfield,18,25,0,0,1,0
664,Dionis,McComish,12,41,1,1,2,1
665,Mira,Marlon,31,17,0,0,2,0
666,Gustave,Caton,48,11,0,0,1,0
667,Aubine,Rispen,60,49,0,1,0,0
668,Virgie,Newick,58,11,1,1,0,0
669,Emanuel,Bagger,41,49,0,0,0,0
670,Grayce,Claque,17,10,0,0,1,0
671,Bettye,Spellman,34,9,0,1,1,0
672,Catharina,Reinbeck,21,2,0,1,0,0
673,Rubin,Devonish,54,16,0,1,2,0
674,Bethina,Livesley,11,3,1,1,0,0
675,Marrilee,Larkins,4,30,1,0,0,0
676,Solomon,Elizabeth,10,23,1,1,1,0
677,Cleavland,Bazelle,43,51,1,1,1,1
678,Hanan,Lulham,17,5,0,1,0,0
679,Gauthier,Boik,16,42,1,0,0,0
680,Tatiania,Upsale,38,54,0,0,0,0
681,Vito,Yearby,6,28,1,0,1,0
682,Valentin,Leupoldt,60,33,1,1,1,1
683,Langsdon,Ledrun,50,18,0,1,0,0
684,Conni,Huckleby,46,31,1,0,1,1
685,Tamarra,Veltmann,46,36,1,1,0,0
686,Gert,Shurlock,9,1,0,1,0,0
687,Woodman,Kennington,21,40,0,1,2,0
688,Gwennie,Esmead,40,7,0,0,1,0
689,Bernete,Larvin,41,17,0,0,0,0
690,Emanuel,Beazey,59,44,0,1,2,0
691,Kamilah,Minty,58,36,0,0,1,0
692,Sofia,Spalls,39,49,1,0,1,1
693,Serge,Ballendine,15,8,1,1,0,0
694,Rikki,Bruffell,1,55,1,1,2,1
695,Dorothy,Chaim,57,7,0,1,1,0
696,Brenn,Beldan,36,47,0,0,0,0
697,Alidia,Begg,13,3,0,1,2,0
698,Emylee,Bartholomieu,21,54,0,0,0,0
699,Gypsy,Normansell,28,29,0,1,0,0
700,Del,Hitzke,14,11,0,0,0,0
701,Titos,Zmitrichenko,1,42,0,0,2,0
702,Lauree,Wellman,51,38,0,1,2,0
703,Frasquito,Oxterby,17,27,0,0,1,0
704,Nanice,Chatenier,30,54,0,1,1,0
705,Bradney,Rudgley,19,2,1,0,1,0
706,Gianna,Channon,27,2,1,1,1,0
707,Trevor,Lucus,59,53,0,1,1,0
708,Virgie,Josefson,9,60,0,0,1,0
709,Gracia,Gallichiccio,49,50,0,0,0,0
710,Jervis,Upfold,52,33,0,0,2,0
711,Clementia,Amor,45,38,0,0,0,0
712,Terrijo,Gert,42,1,1,1,0,0
713,Aleece,Tyres,2,46,1,1,2,1
714,Peterus,Kingscott,53,23,1,0,0,0
715,Danella,Lowdyane,30,59,1,1,0,0
716,Trescha,Rockcliffe,47,9,1,1,2,0
717,Hartwell,Donnan,25,52,0,1,0,0
718,Regina,Godson,53,58,1,0,1,1
719,Virginie,Lathwell,59,14,1,0,0,0
720,Maren,McCrory,50,47,0,1,0,0
721,Hyacinthe,Brinsford,3,35,0,1,1,0
722,Chrissy,Lamey,30,3,1,0,2,0
723,Adara,Wilmott,16,36,1,0,0,0
724,Armstrong,Caulton,38,58,1,1,1,1
725,Whitby,Keir,47,51,1,0,0,0
726,Augie,Yantsurev,33,52,0,1,2,0
727,Torin,Cowlishaw,30,32,1,1,2,1
728,Weber,Goodinson,51,16,1,0,2,0
729,Amberly,Artharg,32,21,1,1,0,0
730,Larina,Sylvaine,52,29,0,1,0,0
731,Fredek,Neles,27,38,0,1,1,0
732,Lanni,Feaveer,23,18,1,0,1,0
733,Ardyce,Yewman,24,3,1,0,2,0
734,Kaspar,Helwig,36,48,0,0,2,0
735,Red,Grain,31,18,0,0,2,0
736,Syd,Cussins,28,12,0,0,0,0
737,Dirk,Acres,58,53,0,1,1,0
738,Palmer,Wethered,57,60,1,1,1,1
739,Ilse,Stelfax,31,23,0,1,2,0
740,Kalinda,Duffus,42,27,1,0,1,0
741,Marge,Tomsett,37,46,0,0,1,0
742,Nat,Paffitt,25,15,0,1,0,0
743,Esra,Van Halen,20,1,1,1,2,0
744,Shermie,McSwan,50,30,1,0,0,0
745,Marylinda,Fogel,30,8,0,0,1,0
746,Jimmie,Harrowell,23,25,1,1,0,0
747,Jarret,Depper,44,30,0,1,0,0
748,Holly-anne,Piatkow,56,55,0,0,2,0
749,Maury,Arstall,16,57,0,1,0,0
750,Frederique,Dutch,46,57,1,0,1,1
751,Darleen,Kill,35,9,0,0,0,0
752,Harv,Haking,34,16,0,1,1,0
753,Arlina,Mammatt,29,25,0,0,2,0
754,Jeffry,Parkeson,17,51,1,1,1,1
755,Casandra,Catt,32,25,1,0,1,0
756,Sonny,Klehn,30,46,1,1,0,0
757,Jack,Cussins,18,7,1,0,2,0
758,Gayla,Reyne,31,55,1,0,2,1
759,Moselle,Eldred,28,6,0,1,1,0
760,Philippine,Mulvany,13,52,1,0,0,0
761,Inigo,Fforde,34,32,1,1,1,1
762,Kamilah,Tompkins,2,42,0,1,1,0
763,Lorry,Milne,13,18,1,0,2,0
764,Jere,Castagne,33,8,1,0,0,0
765,Roobbie,Matijevic,20,8,0,0,2,0
766,Baird,Dearnaley,12,1,1,0,2,0
767,Artie,Shillito,37,48,1,1,2,1
768,Adela,Floyd,37,56,0,0,2,0
769,Bendicty,Farnan,12,52,0,0,0,0
770,Joscelin,Olanda,9,11,0,1,1,0
771,Georgena,Gobel,11,23,1,0,0,0
772,Roxane,Athridge,40,29,1,0,1,0
773,Darrel,Pickworth,55,34,0,1,1,0
774,Karlotta,Mattityahou,11,14,1,1,0,0
775,Salli,Mordan,27,27,1,1,0,0
776,Emilio,Highnam,53,34,1,0,0,0
777,Raquela,Melior,22,28,1,1,0,0
778,Teddi,Goude,30,43,0,1,1,0
779,Horatius,Shaddock,53,38,1,1,0,0
780,Vlad,Corke,13,31,0,0,1,0
781,Sapphira,Broose,20,48,0,0,2,0
782,Marquita,Dumini,10,34,0,1,2,0
783,Nana,Boichat,42,8,0,1,1,0
784,Cherise,Brashier,44,40,1,1,2,1
785,Jaye,Bullivent,4,17,0,0,1,0
786,Antone,Clyant,53,6,0,1,1,0
787,Cory,Powney,38,43,0,0,0,0
788,Millicent,Hefferon,38,49,1,0,0,0
789,Corrie,Stutely,45,41,1,1,2,1
790,Pearline,Peattie,39,49,1,0,0,0
791,Belita,Penson,7,14,1,1,0,0
792,Town,Coker,47,8,1,0,1,0
793,Munroe,Gores,38,22,0,1,0,0
794,Jolie,Taffie,9,59,0,1,1,0
795,Natale,Waggett,13,12,0,1,1,0
796,Anya,Minger,52,19,0,1,0,0
797,Gretta,Bloodworth,34,43,0,1,0,0
798,Nanni,Fyers,55,49,1,1,2,1
799,Gaby,Eberdt,6,44,0,1,1,0
800,Davine,Rowantree,20,46,1,0,0,0
801,Tatiana,Sappy,18,7,0,0,0,0
802,Celina,Lewens,50,6,0,0,2,0
803,Jessie,Arrundale,44,17,0,1,1,0
804,Neall,Dachs,7,5,1,0,1,0
805,Mill,Livoir,51,39,1,0,1,1
806,Florina,Lurriman,57,42,1,1,1,1
807,Bennie,Lawn,35,52,0,0,0,0
808,Ronald,Leggs,35,12,1,0,0,0
809,Clarey,Budden,60,34,0,0,2,0
810,Randi,Conman,36,11,1,1,1,0
811,Johannes,Labern,11,41,1,1,1,1
812,Dynah,Stepney,20,56,1,1,0,0
813,Renault,Hadye,49,28,0,0,2,0
814,Noel,Curteis,48,46,1,1,1,1
815,Trina,Iacoviello,7,16,1,0,1,0
816,Vernon,Ginger,4,16,1,1,2,0
817,Ellsworth,McGillecole,10,57,0,0,0,0
818,Lawrence,Bonevant,58,29,1,1,0,0
819,Darbee,Lapthorn,50,54,1,0,0,0
820,Frans,Gueste,58,57,1,1,2,1
821,Danita,Blakebrough,53,3,1,0,1,0
822,Orsola,Berrisford,56,18,1,0,1,0
823,Dareen,Schulke,13,50,0,1,1,0
824,Krishna,Watkins,48,60,0,0,0,0
825,Basilio,Corbett,41,25,1,0,2,0
826,Averill,Thorouggood,44,10,1,0,0,0
827,Dorena,Pancoust,7,53,1,1,0,0
828,Joelie,Darter,34,50,1,1,2,1
829,Anselm,Joselevitz,22,16,0,0,1,0
830,Margalo,Durber,28,29,1,1,1,0
831,Barty,Lemanu,30,46,0,0,1,0
832,Karylin,Kobes,37,48,0,0,1,0
833,Idaline,Paolicchi,16,34,1,1,2,1
834,Pietra,Kirvin,34,18,0,1,0,0
835,Merle,Dunnett,5,30,0,0,0,0
836,Yetty,Pyson,57,21,0,0,2,0
837,Adey,Karel,51,29,1,1,0,0
838,Flss,Holtham,11,57,0,1,0,0
839,Kale,Vergine,26,29,0,1,0,0
840,Gerianne,Ludovici,17,15,0,1,2,0
841,Minta,Dunkinson,52,33,1,1,2,1
842,Ruthi,Linguard,60,41,0,0,0,0
843,Emmery,Bredes,25,24,1,0,0,0
844,Aeriell,Lotze,49,55,1,0,2,1
845,Cyndia,Hunnybun,27,4,1,1,1,0
846,Hally,Singyard,21,15,0,0,1,0
847,Lyman,Pottell,22,37,0,1,2,0
848,Antonie,Coleridge,26,46,1,1,0,0
849,Ragnar,Goodbody,4,26,1,1,2,0
850,Matteo,Rishworth,6,41,1,1,1,1
851,Loella,Keemer,3,46,0,1,0,0
852,Alva,Langridge,60,9,0,1,0,0
853,Andreana,Dalinder,7,59,1,0,1,1
854,Boyd,Byllam,2,10,1,0,1,0
855,Karil,Nolton,33,41,0,1,1,0
856,Dael,Weight,52,5,1,0,2,0
857,Butch,Boulder,29,56,1,1,2,1
858,Jaquelyn,Brasner,39,54,1,0,0,0
859,Cathi,McCrostie,60,29,0,1,0,0
860,Turner,Baynom,50,7,1,0,0,0
861,Cherry,Baltrushaitis,38,56,0,0,1,0
862,Gwennie,Everal,15,47,0,0,2,0
863,Chiarra,Levane,45,56,0,1,1,0
864,Theressa,Sidwick,11,40,1,0,1,1
865,Malissa,Alexandersen,53,45,1,1,2,1
866,Patsy,Chesterfield,37,44,0,1,0,0
867,Hamlin,Kingett,31,22,0,0,0,0
868,Franky,McKew,60,7,1,1,0,0
869,Myrlene,Wenderoth,40,42,1,1,1,1
870,Paola,Twopenny,41,35,0,1,0,0
871,Arliene,Cockerill,33,26,1,0,2,0
872,Gustaf,Salan,59,2,1,0,2,0
873,Berkly,Pearman,59,42,1,1,2,1
874,Evin,Piggins,17,24,0,1,2,0
875,Martynne,Deppe,19,15,1,1,2,0
876,Wilbert,Schroder,39,20,1,0,0,0
877,Roderich,McQuarter,4,54,0,0,1,0
878,Hasheem,Blodg,12,46,1,0,2,1
879,Che,Jendrich,4,60,1,1,1,1
880,Marietta,Fesby,17,13,0,0,0,0
881,Alleyn,Toohey,60,7,1,0,2,0
882,Yasmin,Rowen,31,16,1,1,2,0
883,Umberto,Lockart,38,51,1,1,2,1
884,Mollee,Bushell,53,29,1,0,1,0
885,Kort,Nolot,11,2,1,0,0,0
886,Ruttger,Vaudin,20,54,0,0,1,0
887,Kelcy,Cudmore,46,22,0,0,1,0
888,Wilbert,Haycraft,6,49,0,0,1,0
889,Jehanna,Lermit,30,9,1,0,2,0
890,Free,Pearch,20,44,1,1,2,1
891,Louis,Shortall,33,2,0,1,2,0
892,Khalil,Crossgrove,6,10,1,0,2,0
893,Lidia,Cathesyed,17,6,1,1,2,0
894,Wood,Caplin,35,29,1,0,2,0
895,Kikelia,Fladgate,19,10,1,1,1,0
896,Loree,Damato,51,4,0,1,2,0
897,Jackelyn,Jimson,30,47,0,1,2,0
898,Mercedes,Tolputt,37,26,1,1,1,0
899,Natasha,Pavluk,27,43,1,0,0,0
900,Liuka,Lettson,35,33,0,1,0,0
901,Bradford,Burris,9,8,0,1,1,0
902,Ricoriki,Omond,31,45,1,0,0,0
903,Nady,Wilcocke,2,34,1,0,1,1
904,Tim,Simonin,55,41,1,1,1,1
905,Manfred,Berks,42,42,0,1,2,0
906,Norine,Mayler,32,40,1,1,2,1
907,Anita,Pavlasek,22,15,1,0,1,0
908,Hendrika,Feehery,41,44,1,0,2,1
909,Horten,Donneely,37,52,1,0,2,1
910,Hamish,Jessett,51,4,1,0,1,0
911,Darnell,Classen,25,25,1,0,0,0
912,Almeria,Driver,35,22,0,1,1,0
913,Bryanty,Gaze,20,45,0,0,2,0
914,Linzy,Willgress,43,58,1,0,0,0
915,Joscelin,Salzen,35,52,0,1,0,0
916,Hersch,Burnhill,9,11,0,1,0,0
917,Che,MacAllen,17,35,1,0,2,1
918,Averill,Minors,56,28,1,0,0,0
919,Emmalee,Milstead,36,55,1,0,1,1
920,Nichols,Pallin,7,47,1,1,1,1
921,Yasmeen,Hazley,58,5,0,1,1,0
922,Melly,Sandham,42,23,0,0,1,0
923,Vanna,Stainton - Skinn,46,50,0,0,0,0
924,Drew,Biddwell,37,58,0,0,2,0
925,Mercedes,Daughtery,36,48,0,0,0,0
926,Karie,Tindall,57,22,1,0,2,0
927,Hernando,Trewartha,32,42,0,0,2,0
928,Palm,Kennefick,56,25,0,1,1,0
929,Nefen,Lambert,54,21,0,0,1,0
930,Whitney,Brandts,31,39,1,0,1,1
931,Fernando,Snelgrove,7,44,0,0,1,0
932,Felipe,Hagstone,51,31,1,1,0,0
933,Austen,Seabright,14,7,0,1,1,0
934,Leroy,Niezen,8,21,0,1,0,0
935,Randa,Hierro,27,25,1,1,0,0
936,Scot,Fargher,17,36,1,0,0,0
937,Elianora,Percy,43,59,0,1,0,0
938,Elane,Slatten,19,37,0,1,1,0
939,Rosaline,Keasy,17,27,0,1,1,0
940,Patten,Pigot,13,41,0,1,0,0
941,Lanie,Butten,27,59,0,0,2,0
942,Ferrell,Pawle,39,57,0,0,2,0
943,Nial,Sollett,11,16,0,0,1,0
944,Avram,Crabb,17,51,0,0,0,0
945,Tiena,Tippler,30,12,0,1,2,0
946,Ashla,McTeggart,28,48,0,0,0,0
947,Benedetta,Helkin,23,30,0,1,1,0
948,Klement,Fetherstonhaugh,6,42,0,1,2,0
949,Gwenore,Kitchiner,57,44,0,0,0,0
950,Sheridan,Trevain,57,57,0,1,0,0
951,Marjory,Zywicki,32,6,1,0,0,0
952,Eleen,McGinnis,16,28,0,1,0,0
953,Myrlene,Talby,59,20,0,0,0,0
954,Waldon,Ast,5,52,0,1,0,0
955,Kincaid,Gurge,47,29,1,0,1,0
956,Adriana,Morlon,3,47,1,0,2,1
957,Rene,Rimbault,52,29,0,0,1,0
958,Rriocard,Ivashechkin,12,34,1,1,2,1
959,Camilla,Pynn,46,17,1,1,1,0
960,Martita,Leaburn,27,38,0,1,2,0
961,Mavis,Danahar,6,18,1,0,2,0
962,Claudio,McNab,42,24,0,0,1,0
963,Yancy,Glass,37,60,0,1,0,0
964,Dru,Habberjam,48,15,0,1,1,0
965,Cari,McGettigan,54,59,1,0,0,0
966,Valida,Winear,47,13,1,0,2,0
967,Theresina,Box,25,18,0,1,1,0
968,Blake,Gerrish,21,9,1,1,0,0
969,Nicoline,Fawley,46,52,0,0,2,0
970,Pren,Miskimmon,40,3,0,1,0,0
971,Romonda,Strauss,18,4,0,1,1,0
972,Patrizio,Pellington,50,32,0,1,0,0
973,Kristofer,Soper,9,58,0,0,2,0
974,Andrej,Codner,42,48,0,1,2,0
975,Eddi,Hyndman,57,51,0,1,1,0
976,Andie,Grindlay,25,33,1,0,1,1
977,Raff,Hoggetts,6,33,0,1,1,0
978,Chip,Walkling,59,54,1,0,2,1
979,Kristy,Lafranconi,9,33,1,1,2,1
980,Maureen,Snooks,46,8,1,1,0,0
981,Richy,Hurran,34,39,0,0,0,0
982,Malynda,Barszczewski,7,46,1,1,0,0
983,Dulsea,Braisted,52,33,0,0,0,0
984,Orelle,Gawkes,20,34,0,1,0,0
985,Joelynn,Veryan,53,58,1,1,0,0
986,Madelena,Crocket,17,26,1,1,0,0
987,Early,Witchalls,18,40,0,0,1,0
988,Sheilakathryn,Rowatt,33,22,1,1,0,0
989,Bill,Beirne,11,51,1,0,0,0
990,Karoly,Beccero,27,6,0,1,2,0
991,Eugenia,Hadlee,11,21,0,0,2,0
992,Codie,Vinnick,3,56,1,1,1,1
993,Bradney,Graben,15,59,1,0,0,0
994,Mela,Skellen,56,47,0,0,1,0
995,Laureen,Blinerman,40,5,1,1,1,0
996,Asia,Klezmski,22,23,0,1,2,0
997,Keane,Roels,16,50,1,1,2,1
998,Taffy,Magnus,42,5,1,0,1,0
999,Deina,Tyre,48,27,1,0,2,0
1000,Phylis,Rothermel,57,35,1,1,0,0
